"Time (s)","Acceleration x (m/s²)","Acceleration y (m/s²)","Acceleration z (m/s²)"
3.919429083E2,-1.947000146E0,2.137050152E0,9.886950493E0
3.919453640E2,-1.987950087E0,2.170050144E0,9.877050400E0
3.919478198E2,-2.002050161E0,2.221050024E0,9.885000229E0
3.919502757E2,-1.995000124E0,2.200950146E0,9.873000145E0
3.919527326E2,-1.902000070E0,2.127000093E0,9.904050827E0
3.919551871E2,-1.897050142E0,2.176950216E0,9.838950157E0
3.919576428E2,-1.911000133E0,2.194050074E0,9.796050072E0
3.919600988E2,-1.897050142E0,2.127000093E0,9.766950607E0
3.919625544E2,-1.858950138E0,2.130000114E0,9.742950439E0
3.919650101E2,-1.888050079E0,2.230050087E0,9.636000633E0
3.919674659E2,-1.930950046E0,2.282999992E0,9.564000130E0
3.919699218E2,-1.921050072E0,2.290050030E0,9.444000244E0
3.919723788E2,-1.915950060E0,2.292000055E0,9.420000076E0
3.919748333E2,-1.902000070E0,2.364000082E0,9.328950882E0
3.919772890E2,-1.900050044E0,2.425950050E0,9.243000031E0
3.919797449E2,-1.873050094E0,2.458050013E0,9.205050468E0
3.919822006E2,-1.813050032E0,2.464950085E0,9.150000572E0
3.919846564E2,-1.729950070E0,2.434050083E0,9.091950417E0
3.919871121E2,-1.674000025E0,2.395050049E0,9.114000320E0
3.919895680E2,-1.612050056E0,2.374050140E0,9.111000061E0
3.919920249E2,-1.603050113E0,2.362050056E0,9.111000061E0
3.919944795E2,-1.606950045E0,2.422049999E0,9.061050415E0
3.919969352E2,-1.536000013E0,2.440950155E0,9.013050079E0
3.919993911E2,-1.513950109E0,2.521950006E0,8.959950447E0
3.920018468E2,-1.509000063E0,2.556000233E0,8.970000267E0
3.920043025E2,-1.351050019E0,2.211000204E0,8.874000549E0
3.920067585E2,-7.860000134E-1,1.162050009E0,9.067950249E0
3.920092142E2,-9.300000668E-1,1.407000065E0,9.207000732E0
3.920116711E2,-1.255050063E0,1.962000132E0,9.235950470E0
3.920141256E2,-1.600050092E0,2.512950182E0,9.163949966E0
3.920165815E2,-1.782000065E0,2.845050097E0,9.003000259E0
3.920190372E2,-2.041050196E0,3.220950127E0,8.809950829E0
3.920214930E2,-2.248950005E0,3.547050238E0,8.625000000E0
3.920239487E2,-2.425950050E0,3.952050209E0,8.529000282E0
3.920264046E2,-2.424000025E0,3.964050293E0,8.413949966E0
3.920288603E2,-2.268000126E0,3.760050297E0,8.311950684E0
3.920313173E2,-1.974000096E0,3.387000084E0,8.395050049E0
3.920337720E2,-1.749000072E0,3.007950068E0,8.548950195E0
3.920362277E2,-1.662000060E0,2.697000027E0,8.662950516E0
3.920386835E2,-1.579050064E0,2.533950090E0,8.749950409E0
3.920411392E2,-1.548000097E0,2.479050159E0,8.800050735E0
3.920435951E2,-1.485000014E0,2.545950174E0,8.853000641E0
3.920460508E2,-1.521000028E0,2.653950214E0,8.932050705E0
3.920485065E2,-1.593000054E0,2.746950150E0,8.986950874E0
3.920509634E2,-1.645950079E0,2.848050117E0,9.030000687E0
3.920534181E2,-1.653000116E0,2.932050228E0,9.115950584E0
3.920558738E2,-1.684050083E0,2.944050074E0,9.178050041E0
3.920583296E2,-1.708050132E0,2.902950048E0,9.187950134E0
3.920607853E2,-1.708050132E0,2.833950043E0,9.241050720E0
3.920632412E2,-1.720050097E0,2.821950197E0,9.267000198E0
3.920656969E2,-1.665000081E0,2.853000164E0,9.307950020E0
3.920681527E2,-1.639050126E0,2.826000214E0,9.372000694E0
3.920706098E2,-1.809000134E0,2.740050077E0,9.420000076E0
3.920730643E2,-1.888050079E0,2.659050226E0,9.375000000E0
3.920755201E2,-1.816050053E0,2.641950130E0,9.307950020E0
3.920779758E2,-1.746000051E0,2.665950060E0,9.322050095E0
3.920804315E2,-1.792050123E0,2.664000034E0,9.331050873E0
3.920828874E2,-1.762950063E0,2.689950228E0,9.384000778E0
3.920853431E2,-1.806000113E0,2.685000181E0,9.406050682E0
3.920877988E2,-1.822950125E0,2.677950144E0,9.367050171E0
3.920902560E2,-1.762950063E0,2.677950144E0,9.298050880E0
3.920927105E2,-1.726950049E0,2.734950066E0,9.276000023E0
3.920951662E2,-1.689000130E0,2.778000116E0,9.322050095E0
3.920976219E2,-1.749000072E0,2.770950079E0,9.307950020E0
3.921000778E2,-1.792050123E0,2.766000032E0,9.271950722E0
3.921025335E2,-1.770000100E0,2.805000067E0,9.219000816E0
3.921049893E2,-1.801050067E0,2.821950197E0,9.175950050E0
3.921074450E2,-1.876050115E0,2.757000208E0,9.097050667E0
3.921099021E2,-1.935000062E0,2.737950087E0,9.030000687E0
3.921123567E2,-1.915950060E0,2.782950163E0,8.959950447E0
3.921148123E2,-1.906950116E0,2.886000156E0,9.013050079E0
3.921172683E2,-1.978950143E0,2.965050220E0,9.079950333E0
3.921197240E2,-1.983000040E0,3.049050093E0,9.138000488E0
3.921221797E2,-2.077050209E0,3.022950172E0,9.157050133E0
3.921246356E2,-2.211000204E0,2.946000099E0,9.085050583E0
3.921270913E2,-2.164950132E0,2.890950203E0,8.956050873E0
3.921295483E2,-2.078999996E0,2.905050039E0,8.677950859E0
3.921320028E2,-1.971000075E0,2.755050182E0,8.464950562E0
3.921344587E2,-1.821000099E0,2.326050043E0,8.335050583E0
3.921369144E2,-2.230050087E0,2.925000191E0,8.911950111E0
3.921393702E2,-2.374050140E0,3.267000198E0,8.884050369E0
3.921418259E2,-2.371050119E0,3.339000225E0,8.845050812E0
3.921442818E2,-2.299050093E0,3.324000120E0,8.884050369E0
3.921467375E2,-2.268000126E0,3.250050068E0,8.914950371E0
3.921491944E2,-2.235000134E0,3.123000145E0,8.982000351E0
3.921516490E2,-2.175000191E0,3.078000069E0,8.992050171E0
